	eng	kor
desc_StrongBones	Increase 'ATK' by <val0> and 'HP' by <val1>.	공격력이 <val0>증가하며 체력이 <val1>증가한다.
Expert	Expert	달인
desc_Expert	Increase 'ATK' by <val0> and <val1>%.	공격력이 <val0> 증가하며 <val1>% 증가한다.
Blessing	Blessing	축복
desc_Blessing	Increase 'RYN' by <val0> and <val1>%.	연이 <val0> 증가하며 <val1>% 증가한다.
Grace	Grace	은혜
desc_Grace	Increase Healing by <val0>%.	회복량이 <val0>% 증가한다.
SturdyBody	Sturdy Body	단단한 몸
desc_SturdyBody	Increase 'DEF' by <val0>.	방어력이 <val0> 증가한다.
Seasoned	Seasoned	단련가
desc_Seasoned	Increase 'DEF' by <val0>.	방어력이 <val0> 증가한다.
Inborn	Inborn	천성
desc_Inborn	Increase 'RES' by <val0>.	저항력이 <val0> 증가한다.
Stream	Stream	흐름
desc_Stream	Increase 'RES' by <val0>.	저항력이 <val0> 증가한다.
Agile	Agile	날렵
desc_Agile	Increase 'SPD' by <val0> and 'Evasion' by <val1>.	속도가 <val0>증가하며 회피가 <val1> 증가한다.
Decent	Decent	준족
desc_Decent	Increase 'SPD' by <val0>.	속도가 <val0> 증가한다.
MoneyMaker	Money Maker	돈벌레
desc_MoneyMaker	Increase acquired gold when defeating enemies by <val0>%.	적 처치시 획득 골드가 <val0>% 증가한다.
ToughSkin	Tough Skin	질긴피부
desc_ToughSkin	Increase 'Fire Resistance' by <val0>%.	화염 내성이 <val0>% 증가한다.
WarmBlood	Warm Blood	따뜻한 피
desc_WarmBlood	Increase 'Frost Resistance' by <val0>%, reduce 'Wet' duration by <val1>%.	냉기 내성이 <val0>% 증가하며 젖음 상태이상의 턴이 <val1>% 감소한다.
SpecialConstitution	Special Constitution	특이체질
desc_SpecialConstitution	Increase 'Lightning Resistance' by <val0>%, recover 'HP' by <val1>% when stunned.	번개 내성이 <val0>% 증가하며 기절 시 HP를 <val1>% 회복한다.
SharpAttack	Sharp Attack	날카로운 공격
desc_SharpAttack	Increase 'Defense Penetration' by <val0>.	방어관통력이 <val0> 증가한다.
CursedAttack	Cursed Attack	저주받은 공격
desc_CursedAttack	Increase 'Resistance Penetration' by <val0>.	저항관통력이 <val0> 증가한다.
Fire Element	Fire Element	화염 속성
desc_Fire Element	Inflict 'Burn' when accumulated./nCannot apply 'Fire Element' to targets with 'Wet'./nIf a target in 'Burn' gets affected by 'Wet', the damage from 'Burn' becomes <val0>./n	누적 시 화상 상태이상을 부여한다./n젖음 상태인 대상에게는 화염 속성을 부여할 수 없다./n화상인 상태에서 젖음 상태이상에 걸릴 경우 화상의 피해량이 <val0>이된다.
Water Element	Water Element	물 속성
desc_Water Element	Inflict 'Wet' when accumulated.	누적 시 젖음 상태이상을 부여한다.
Frost Element	Frost Element	냉기 속성
desc_Frost Element	Inflict 'Frozen' when accumulated.	누적 시 빙결 상태이상을 부여한다.
Lightning Element	Lightning Element	번개 속성
desc_Lightning Element	Inflict 'Electrify' when accumulated./nDeal <val0>% additional damage to targets with 'Wet'.	누적 시 감전 상태이상을 부여한다./n젖음 상태인 대상에게 <val0>%의 추가 피해를 입힌다.
Wind Element	Wind Element	바람 속성
desc_Wind Element	Inflict 'Confusion' when accumulated.	누적 시 혼란 상태이상을 부여한다./n젖음 상태이상을 제거한다.
Earth Element	Earth Element	대지 속성
desc_Earth Element	Inflict 'Stun' when accumulated.	누적 시 기절 상태이상을 부여한다.
Poison	Poison	독
desc_Poison	Deal <val0>% damage each turn.	턴마다 <val0>%의 피해를 입힌다.
Weakness	Weakness	쇠약
desc_Weakness	Decrease 'ATK' by <val0>%.	공격력이 <val0>% 감소한다.
Vulnerable	Vulnerable	취약
desc_Vulnerable	Decrease 'DEF' by <val0>%.	방어력이 <val0>% 감소한다.
Burn	Burn	화상
desc_Burn	Deal <val0>% damage in each battle.	전투마다 <val0>%의 피해를 입힌다.
Bleed	Bleed	출혈
desc_Bleed	Deal <val0>% damage when moving.	이동 할 때 마다 <val0>%의 피해를 입힌다.
Wet	Wet	젖음
desc_Wet	If a target in 'Stun' gets affected by 'Wet', 'Stun' is removed./nImmune to 'Burn'./nIf a target in 'Burn' gets affected by 'Wet', the damage from 'Burn' becomes <val0>./nIf a target in 'Wet' gets affected by 'Frozen', it takes <val1>% 'HP' damage./nIf a target in 'Frozen' gets affected by 'Wet', the duration of 'Frozen' increases instead of applying 'Wet'./nIncrease damage of 'Lightning Element' by <val2>%.	기절인 상태에서 젖음 상태이상에 걸릴 경우 기절이 해제된다./n화상에 면역이된다. 화상인 상태에서 젖음 상태이상에 걸릴 경우 화상 피해가 <val0>이 된다./n젖음 상태에서 빙결 상태이상에 걸릴 경우 HP의 <val1>%의 피해를 입는다./n빙결인 상태에서 젖음 상태이상에 걸릴 경우 젖음 상태이상 대신 빙결의 턴이 증가한다./n번개 속성의 피해량이 <val2>% 증가한다.
Frozen	Frozen	빙결
desc_Frozen	Decrease Speed by <val0>%./nImmune to 'Bleed'./nIf a target in 'Bleed' gets affected by 'Frozen', 'Bleed' is removed.	속도가 <val0>% 감소한다./n출혈에 면역이 된다./n출혈 상태에서 빙결 상태이상에 걸릴 경우 출혈이 제거된다.
Electrified	Electrified	감전
desc_Electrified	Decrease 'Accuracy' by <val0>%./nImmune to 'Stun'./nIf a target in 'Stun' gets affected by 'Electrify', 'Stun' is removed.	명중이 <val0>% 감소한다./n기절에 면역이된다./n기절인 상태에서 상태에서 감전 상태이상에 걸릴 경우 기절이 해제된다.
Confusion	Confusion	혼란
desc_Confusion	Decrease 'Ryeon' by <val0>%, decrease 'RES' by <val1>%.	연이 <val0>%, 저항력이 <val1>% 감소한다.
Stun	Stun	기절
desc_Stun	Cannot take any actions.	아무런 행동을 취할 수 없다.
Blind	Blind	실명
desc_Blind	Cannot perform physical attacks.	물리 공격을 할 수 없다.
Silence	Silence	침묵
desc_Silence	Cannot use Ryeon skills.	연술을 사용할 수 없다.
Bindness	Binding	속박
desc_Bindness	Cannot move.	이동을 할 수 없다.
Fear	Fear	공포
desc_Fear	Set movement to 1 and flee from the target, excluding 'Binding'.	(속박을 제외한 상태에서)이동력을 1로 변경시키고 대상으로부터 도망간다.
HoundSpirit	Hound Spirit	개의 반혼
desc_HoundSpirit	Movement' is increased by <val0>.	이동력이 <val0>증가한다.
WolfSpirit	Wolf Spirit	늑대의 반혼
desc_WolfSpirit	'Armor Penetration' is increased by <val0>%.	방어관통력이 <val0>% 증가한다.
BearSpirit	Bear Spirit	곰의 반혼
desc_BearSpirit	ATK' is increased by <val0>.	공격력이 <val0> 증가한다.
LionSpirit	Lion Spirit	사자의 반혼
desc_LionSpirit	ATK' is increased by <val0>, 'Attack Speed' is increased by <val1>.	공격력이 <val0>, 속도가 <val1> 증가한다.
ElephantSpirit	Elephant Spirit	코끼리의 반혼
desc_ElephantSpirit	HP' is increased by <val0>, 'DEF' is increased by <val1>.	체력이 <val0>, 방어력이 <val1> 증가한다.
GroundDragonSpirit	Ground Dragon Spirit	지룡의 반혼
desc_GroundDragonSpirit	Damage of the first attack I make in battle is increased by <val0>%.	내가 거는 전투 시 첫 번째 공격의 피해량이 <val0>% 증가한다.
EarthDragonSpirit	Earth Dragon Spirit	토룡의 반혼
desc_EarthDragonSpirit	When engaged in battle by the opponent, 'DEF' is increased by <val0>%.	상대가 거는 전투 시 방어력이 <val0>% 증가한다.
BlundasSpirit	Blundas Spirit	블룬다스의 반혼
desc_BlundasSpirit	'Fire Resistance' increases by <val0>%, 'Fire Element' accumulation increases by <val1>%.	화염 내성이 <val0>%, 화염 속성 누적이 <val1>% 증가한다.
TwilightGroundBugSpirit	Twilight Ground Bug Spirit	황혼 땅벌레의 반혼
desc_TwilightGroundBugSpirit	At the beginning of every battle, there is a <val0>% chance to inflict 'Silence' on the enemy.	모든 전투에서 첫 공격 시 <val0>% 확률로 <val1>턴간 침묵을 부여한다.
BlindAssassinSpirit	Blind Assassin Spirit	눈 먼 암살자의 반혼
desc_BlindAssassinSpirit	Evasion' increases by <val0>% for opponents affected by 'CC'.	상태이상에 걸린 상대에 한해 회피가 <val0> 증가한다.
ButterflySpirit	Butterfly Spirit	나비의 반혼
desc_ButterflySpirit	Evasion' increases by <val0>%.	회피가 <val0> 증가한다.
BeeSpirit	Bee Spirit	벌의 반혼
desc_BeeSpirit	Ryn' increases by <val0>.	연이 <val0> 증가한다.
HawkSpirit	Hawk Spirit	매의 반혼
desc_HawkSpirit	Spd' increases by <val0>.	속도가 <val0> 증가한다.
OwlSpirit	Owl Spirit	올빼미의 반혼
desc_OwlSpirit	If there are <val0> or more allied units within the attack range, this unit will not be targeted.	대상의 공격 범위내 아군이 <val0>명 이상일 경우 공격대상으로 지정받지 않는다.
GriffinSpirit	Griffin Spirit	그리핀의 반혼
desc_GriffinSpirit	Damage increases by <val0>% proportionally to the movement distance in the current turn.	해당 턴의 이동거리에 비례하여 피해량이 <val0>% 증가한다.
FlyingDragonSpirit	Flying Dragon Spirit	비룡의 반혼
desc_FlyingDragonSpirit	When counterattacking, 'Unit Unit Bonus Damage' is increased by <val0>%.	반격의 특효 피해량이 <val0>% 증가한다.
ChaoticDragonSpirit	Chaotic Dragon Spirit	마룡의 반혼
desc_ChaoticDragonSpirit	When engaged in battle by the opponent, 'RES' is increased by <val0>%.	상대가 거는 전투 시 저항력이 <val0>% 증가한다.
CrimakksSpirit	Crimakks Spirit	크리마크스의 반혼
desc_CrimakksSpirit	Lightning Resistance' increases by <val0>%, 'Lightning Element' accumulation increases by <val1>%.	전기 내성이 <val0>%, 전기 속성 누적이 <val1>% 증가한다.
DawnFlyingSpiderSpirit	Duskmantle Spider Spirit	어스름 날거미의 반혼
desc_DawnFlyingSpiderSpirit	Ryn' increases when evading an attack by <val0>%.	공격 회피시 연이 <val0> 증가한다.
SleepingAngelSpirit	Sleeping Angel Spirit	잠든 천사의 반혼
desc_SleepingAngelSpirit	Upon reaching 20% or less health in each battlefield, gain invincibility once.	매 전장마다 체력이 <val0>% 이하일 경우 <val1>회 피해면역을 얻는다.
SoulCrusher	Soul Crusher	영혼분쇄기
desc_SoulCrusher	Dull blades are lethal to souls./nRemove the souls of nearby Soul, Living Soul, and Necro Ryeonier within <val0> tiles.	뭉툭한 날은 영혼들에게 치명적이다./n인근 <val0>타일 내의 영혼술사, 생령술사, 사령술사의 영혼을 제거한다.
Umbrella	Umbrella	우산
desc_Umbrella	Be cautious as it may rain./n'Water Element' <val0>, 'Lightning Element' <val1>.	비가 올 수 있으니 주의하세요./n물 속성 <val0>, 전기 속성 <val1>
RedUmbrella	Red Umbrella	붉은 우산
desc_RedUmbrella	Be cautious as it may rain./n'Water Element' <val0>, 'Lightning Element' <val1>. If it's raining, reduce damage received by <val2>%.	비가 거셀 수 있으니 주의하세요./n물 속성 <val0>, 전기 속성 <val1>, 비가 내리는 경우 상대의 피해량을 <val2>% 경감한다.
FoxSilverKnife	Fox Silver Knife	여우 은장도
desc_FoxSilverKnife	A nimble fox, a mask, and Silver knife./nIf the 'Attack Speed' is higher than the target's, increase the 'Attack speed' difference by <val0>%.	날렵한 여우와 가면 그리고 은장도/n대상보다 공격속도가 높을 경우 공격속도 차이가 <val0>% 증가한다.
Sodett	Sodett	소데트
desc_Sodett	1st StarEaten, Sodett/n'Fire Element' <val0>, Sodett inflict Unit Bonus Damage to every unit, but 'Unit Unit Bonus Damage' is changed to <val4>%\n Soddet,deals additional damage equal to accumulated 'Burn' damage. If this unit is '<val2>' and '<val5>' is in inventory, gain a skill '<val6>' and a shield equal to <val1>% of maximum 'HP' and 'Frost Element' immunity every turn, based on the number of units with accumulated 'Burn'. If equipped by a unit other than '<val2>', lose <val3>% of health every turn.	첫 번째 성식, 소데트/n화염 속성 <val0>, 누적된 화상피해 만큼 추가피해를 입힌다. 모든 유닛에 대해 특효가 발생하지만 특효의 피해가 <val4>%만 증가합니다. 해당 유닛이 <val2>이며, '<val5>'가 인벤토리에 있을 시 '<val6>'스킬을 획득하며, 매 턴마다 화염 속성이 누적된 유닛의 수 만큼 최대 체력의 <val1>% 만큼의 보호막과 냉기 면역을 획득한다. '<val2>' 이외의 유닛이 장비 시 매 턴마다 체력의 <val3>%의 피해를 입는다.
Dorrmu	Dorrmu	도르무
desc_Dorrmu	2nd Returning Star, Dorrmu/nIf an enemy is defeated within the same turn when Dorrmu is equipped by '<val0>', enter a 'Concentrated'. While in a 'Concentrated', increase 'Armor Penetration' by <val1>%, reduce damage taken by <val2>%, remove all 'CC', and gain immunity.	두 번재 회성, 도르무/n'<val0>'이(가) 장착 시 이번 턴 내에 적군이 처치되었을 경우 집중상태에 돌입한다. 집중상태에서는 방어관통력이 <val1>% 증가, 받는 피해량이 <val2>% 경감하며 모든 상태이상이 해제되고 면역을 얻는다.
HoroonBlade	Horoon Blade	호룬 블레이드
desc_HoroonBlade	4th Rest, Horoon Blade/nDuring equipment, 'RES' increases by <val0>% of 'DEF'. When attacking enemies with higher 'ATK' than 'RYN', it inflicts 'Silence'. Units other than <val1> suffer <val2>% of their 'HP' as damage with each attack.	네 번째 안식, 호룬 블레이드/n장비한 동안 저항력이 방어력의 <val0>%만큼 증가한다. 공격력보다 연이 높은 적 공격 시 침묵을 부여한다. '<val1>' 이외의 유닛이 장비시 매 공격마다 체력의 <val2>%의 피해를 입는다.
Andett	Andett	안데트
desc_Andett	6th Destiny, Andett/n'Frozen' <val0>. if this unit is '<val2>' and '<val5>' is in inventory, gain a skill "<val4>". If the target is gained already 'Burn', applies 'Frozen' equal to the remaining 'Burn'. Upon defeating enemies, this unit gains a shield equal to <val1>% of its 'HP'. While the shield is active, it becomes immune to 'Burn'. If equipped by units other than <val2>, the weapon's 'ATK' is reduced by <val3>%.	여섯 번째 숙명, 안데트/n냉기 속성 <val0>, 해당 유닛이 '<val2>이며 '<val5>'가 인벤토리에 있을 시 <val4> 스킬을 획득한다. 대상이 화상에 걸려있을 경우 남은 화상을 즉시 발현시키고 해당 턴만큼 빙결을 부여한다. 적을 처치할 때마다 체력의 <val1>% 만큼의 보호막을 획득한다. 보호막이 유지되는 동안 화상 면역을 얻는다. '<val2>'이외의 유닛이 장비시 해당 무기의 공격력이 <val3>%만 적용된다.
VoidAbsorber	Void Absorber	공허흡수기
desc_VoidAbsorber	Can absorb anything./nRecovers <val0>% of the damage dealt and absorbs the accumulated 'Element' of the target.	뭐든지 빨아들일 수 있습니다./n피해량의 <val0>% 만큼 회복한다. 대상의 누적된 속성치를 흡수한다.
TransdimensionalEmitter	Transdimensional Emitter	전이방출기
desc_TransdimensionalEmitter	Beware of sudden noise./nTransfers <val0>% of the accumulated 'Element' and 'CC' to the enemy.	갑작스러운 소음을 주의하세요./n가지고 있는 속성 누적치의 <val0>%와 상태이상을 적에게 전이시킨다.
UnstableDimensionalTeleporter	Unstable Dimensional Teleporter	불안정한 차원 이동기
desc_UnstableDimensionalTeleporter	"Where am I?"/nAfter attacking a target, teleport to a random tile within 3 tiles. It cannot move to the tile it moved from during the same turn.	"여기가 어디지?"/n대상을 공격한 후 인근 3타일 내의 무작위 타일로 이동한다. 같은 턴 동안 효과로 이동한 타일로는 이동할 수 없다.
FelvenBermel	Felven Bermel	펠븐 버멜
desc_FelvenBermel	3rd Desire, Felven Bermel/nWhenever allied units within <val0> tiles take any damage, this unit's 'ATK' increases by <val1> for <val2> turns. If equipped by units other than <val3>, 'HP' decreases by <val4>% with each battle.	세 번째 욕망, 펠븐 버멜/n인근 <val0>타일 내의 아군이 어떤 식으로든 피해를 입을 때마다 <val1>만큼 공격력이 증가한다. <val2>턴간 유지된다. <val3> 이외의 유닛이 장비시 매 전투마다 체력이 <val4>% 감소한다.
Burava	Burava	부라바
desc_Burava	8th Delight, Burava/n'Fear' <val0>. Inflicts 'Fear' for <val1> turns on the first enemy attacked by 'Burava'. Increases allied units' 'Armor Penetration' and 'Resistance Penetration' by <val2>% for each enemy affected by 'Fear'.	여덟 번째 환성, 부라바/n공포 <val0>, 부라바에 처음 공격당한 적에게 공포 상태이상을 <val1>턴간 부여한다. 공포에 걸린 적의 수 만큼 아군의 방어관통력과 저항관통력이 <val2>% 증가한다.
Sioon	Sioon	시운
desc_Sioon	12th Silence, Sioon/n'Silence' <val0>. Creates a pillar at the original position when moving, which lasts for <val1> turns. The pillar has <val2>% of the this unit's 'HP' and absorbs damage received by allied units within <val3> tiles. If the pillar is destroyed, it inflicts stun for <val4> turns on the enemy unit that last damaged the pillar.	열두 번째 침묵, 시운/n침묵 <val0>, 이동시 기존의 위치에 <val1>턴간 유지되는 기둥을 생성한다. 기둥은 소지자의 <val2>%의 체력을 가진다. 기둥은 인근 <val3>타일 내에서 아군 유닛이 받는 피해량을 흡수하며, 기둥이 파괴될 경우 마지막으로 기둥에 피해를 입힌 적군 유닛에게 <val4>턴간 기절을 부여한다.
TorrbonBreaker	Torrbon Breaker	토르본 브레이커
desc_TorrbonBreaker	5th Pray, Torrbon Breaker/n'Special Unit damage' applies only <val0>% of the damage. If the 'Total Weight' is higher than the target's 'Total Weight' value, it always hits.	다섯 번째 기도, 토르본 브레이커/n특효 피해량이 <val0>%만 적용된다. 총합 무게가 적보다 높을 경우 무조건 적중한다.
EterKrsour	Eter Krsour	이터 크루소
desc_EterKrsour	9th Hypocrisy, Eter Krsour/n'Earth Element' <val0>. Inflicts Ryeon damage. For each enemy not defeated, 'HP' decreases by <val1>%. increases "Ryn" proportionate to the decreased 'HP'. Upon defeating an enemy, recovers <val2>% of its power.	아홉 번째 위선, 이터 크루소/n대지 속성 <val0>, 연 피해를 입힙니다. 적을 처치하지 못했을 때마다 체력이 <val1>% 감소합니다. 감소한 체력의 비율만큼 연이 증가하며, 적 처치 시<val2>의 위력만큼 회복합니다.
EaelJonel	Eael Jonel	에엘 조넬
desc_EaelJonel	11th Conclusion, Eael Jornel/nIncreases range by <val0> and 'Armor Penetration' by <val1>%. Increases 'ATK' by the total 'SP' consumed by allied units during the current turn. Creates marks on the map with each attack, and standing on a mark allows this unit to obtain it. The number of obtained marks decreases by <val2> every <val3> turns.	열한 번째 결론, 에엘 조넬/n사정거리가 <val0> 증가하며, 방어관통력이 <val1>% 증가한다. 이번 턴 동안 아군 유닛이 총 소모한 SP만큼 공격력이 증가한다. 매 공격마다 맵 곳곳에 표식을 생성하며 표식에 올라서면 획득할 수 있다. 획득한 표식의 수 만큼 일반 공격 시 공격속도에 영향을 받지 않고 추가 공격을 한다. 획득한 표식 중첩은 <val3>턴마다 <val2>씩 감소한다.
Luneion	Luneion	루니온
desc_Luneion	7th Dawn, Luneion/nAttacks with the higher value between 'ATK' and 'RYN'. Regardless of distance, if the closest unit to the unit is an ally, it restores <val0>% of the damage dealt. If the closest unit is an enemy, it inflicts the same damage regardless of 'DEF' and 'RES'.	일곱 번째 새벽, 루니온/n공격력과 연 중 높은 수치의 피해량으로 공격한다. 대상으로부터 거리에 관계 없이 자신을 제외한 가장 가까운 유닛이 아군일 경우 피해량의 <val0>%만큼 회복시키며, 적군일 경우 방어력, 저항력과 관계없이 동일한 피해를 입힌다.
GorrmangDi	Gorrmang Di	고르망디
desc_GorrmangDi	10th Hunger, Gorrmang Di/nNormal attacks penetrate through enemies in a straight line. With each enemy penetrated, damage decreases by <val0>%, but if the HP of the <val1>-th enemy is less than Gormandi's power <val2> of attack damage, the damage is increased again by <val3>%.	열 번째 허기, 고르망디/n일반 공격시 직선상의 적을 관통하여 공격한다. 적을 관통할 때마다 피해량이 <val0>% 감소하며 <val1>번째 적의 체력이 고르망디의 위력 <val2>의 공격 피해량보다 적을 경우 다시 피해량이 <val3>% 증가한다.
CremRovan	Crem Rovan	크렘 로반
desc_CremRovan	13th Struggle, Crem Rovan/nReduces damage taken by <val1>% when the number of enemy units in adjacent <val0> tiles exceeds the number of allied units. If this unit loses 'HP' in battle, gains a shield equal to <val2>% of maximum 'HP'. While a shield is activated, Recovers <val3>% of the damage dealt, and this unit ables pass enemy.	열세 번째 투쟁, 크렘 로반/n자신의 인근 <val0>타일 내에 아군 유닛보다 적군 유닛의 수가 많을 경우 받는 피해량을 <val1>% 경감한다. 전투에서 체력을 잃을 경우 최대체력의 <val2>% 만큼의 보호막을 획득한다. 보호막이 활성화된 동안 모든 공격 피해량의 <val3>% 만큼 체력을 회복하며, 적 유닛을 통과할 수 있다.
Sunny	Sunny	맑음
desc_Sunny	'Earth Element' increased by <val0>%, 'Element' other than 'Earth Element' decreased by <val1>%, and 'CC' reduced by <val2>%.	대지 속성이 <val0>% 증가, 대지 이외의 속성이 <val1>% 감소, 상태이상이 <val2>% 감소한다.
Storm	Storm	폭풍
desc_Storm	Wind Element' increased by <val0>%, and every <val1> turns, a random area is struck by a storm of <val2>x<val2> (increases 'Evasion' by <val3>, pushed <val4> tiles in the opposite direction when stunned).	바람 속성이 <val0>% 증가하며, <val1>턴마다 무작위 지역에 <val2>x<val2>의 폭풍(회피 <val3> 증가, 기절 시 바라보는 방향의 반대로 <val4>칸 밀림)이 생성된다.
Electric Storm	Electric Storm	벼락 폭풍
desc_ElectriStorm	'Lightning Element' increased by <val0>%, 'Wind Element' decreased by <val1>%, and every <val2> turns, a random area is struck by a lightning bolt ('Paralysis' <val3>, 'Lightning Element' <val4>, fixed damage equal to <val5>% of maximum 'HP').	번개 속성이 <val0>% 증가, 바람 속성이 <val1>% 감소하며 <val2>턴마다 무작위 지역에 벼락(감전 <val3>, 번개 속성 <val4>, 최대체력의 <val5>%의 고정피해)이 내린다.
Heat Wave	Heat Wave	폭염
desc_HeatWave	'Fire Element' increased by <val0>%, 'Water Element' decreased by <val1>%, and 'Frost Element' decreased by <val2>%.	화염 속성이 <val0>% 증가, 물 속성이 <val1>% 감소, 얼음 속성이 <val2>% 감소한다.
Cold Wave	Cold Wave	한파
desc_ColdWave	Frost Element' increased by <val0>%, and 'SP' consumption increased by <val1>.	얼음 속성이 <val0>% 증가하며 SP 소모량이 <val1> 증가한다.
Rain	Rain	비
desc_Rain	All units are affected by the 'Wet'.	모든 유닛이 젖음 상태이상에 걸린다.
Snow	Snow	눈
desc_Snow	'Frost Element' increased by <val0>%, and every turn all units accumulate <val1> 'Frost Element'.	얼음 속성이 <val0>% 증가하며 매 턴마다 모든 유닛이 얼음 속성이 <val1> 누적된다.
Fog	Fog	안개
desc_Fog	Water Element' increased by <val0>%, 'Evasion' increased by <val1>, and for <val2> turns after 'Wind Element' attack, 'Accuracy' increased by <val3>.	물 속성이 <val0>% 증가하며 회피가 <val1> 증가하며 바람 속성 공격시 <val2>턴간 명중<val3> 증가한다.
Hail	Hail	우박
desc_Hail	'Frost Element' increased by <val0>%, and every <val1> to <val2> turns, hail ('Stun', 'Frost Element' <val4>, physical damage equal to <val5>% of maximum 'HP') falls on <val3> random locations.	얼음 속성 <val0>% 증가하며 <val1>~<val2>턴마다 무작위 지역에 <val3>곳에 우박(기절, 얼음 속성 <val4>, 최대 체력의 <val5>%의 물리피해)을 내립니다.
Insulation	Insulation	보온 
desc_Insulation	Increase 'Frost Resistance' by <val0>%.	 얼음 내성 <val0>% 증가
Radiating	Radiating	방열 
desc_Radiating	Increase 'Fire Resistance' by <val0>%.	 화염 내성 <val0>% 증가
Rage	Rage	분노 
desc_Rage	Increase "Atk" by <val0>% of lost 'HP'.	잃은 체력의 <val0>% 만큼 공격력 증가
Corner	Corner	궁지 
desc_Corner	Increase "Ryn" by <val0>% of lost 'HP'.	잃은 체력의 <val0>% 만큼 연 증가
Fortitude	Fortitude	불굴 
desc_Fortitude	Increase "Def" by <val0>% of lost 'HP'.	잃은 체력의 <val0>% 만큼 방어력 증가
Creed	Creed	신념 
desc_Creed	Increase "Res" by <val0>% of lost 'HP'.	잃은 체력의 <val0>% 만큼 저항력 증가
Superiority	Superiority	우세 
desc_Superiority	If the number of enemy units is fewer than friendly units, increase damage by <val0>%.	적 유닛의 수가 아군 유닛의 수보다 적다면 피해량 <val0>% 증가
Defiance	Defiance	반항 
desc_Defiance	If the enemy's attack count is higher than <val0>, perform <val1> additional attacks.	적의 공격횟수가 <val0>회 이상 높을 경우 <val1>회 추가 공격
Disguise	Disguise	가장 
desc_Disguise	If taking the least damage among the units the enemy can attack, designate <val0> unit as the target.	적이 공격 가능한 유닛 내에서 받는 피해량이 가장 낮을 경우, <val0> 유닛의 공격 대상으로 지정됨
Bluff	Bluff	허세 
desc_Bluff	If receiving the highest damage among the units the enemy can attack, do not designate <val0> unit as the target, unless there are no other friendly units within the enemy's attack range.	적이 공격 가능한 유닛 중 받는 피해량이 가장 높을 경우 <val0> 유닛의 공격 대상으로 지정되지 않음, 단 적의 공격 범위내에 자신만 있을 경우 발생되지 않음
ReMovement	ReMovement	재이동 
desc_ReMovement	After certain actions, able to move <val0> tiles.	일부 행동 이후 <val0> 타일 이동 가능
Learning	Learning	배움 
desc_Learning	Increase 'EXP' gained by <val0>%.	경험치 획득량 <val0>% 증가
Eclipse:Sol	Eclipse:Sol	이클립스(해) 
desc_Eclipse:Sol	All healing to me is fixed at <val0> and all attacks engrave a 'Sol' symbol on the target. When defeating an enemy with a 'Sol' symbol, increase 'ATK' by <val2>% for <val1> turns and gain invincibility <val3> times.	자신의 모든 체력회복이 <val0>으로 고정되며 모든 공격이 대상에게 태양의 문양을 새깁니다. 태양의 문양을 가진 적을 처치 시 <val1>턴간 공격력이 <val2>% 증가하며 무적 <val3>회를 얻습니다.
Eclipse:Luna	Eclipse:Luna	이클립스(달) 
desc_Eclipse:Luna	Most skills engrave a 'Luna' symbol on the target. Against enemies with a 'Luna' symbol, increase 'Defence Penetration' by <val0> and restore <val1> 'HP' for each friendly unit with a 'Luna' symbol after each action.	대부분의 기술이 대상에게 달의 문양을 새깁니다. 달의 문양을 가진 적을 대상으로 방어관통력이 <val0> 증가하며, 매 행동마다 달의 문양을 가진 아군의 수만큼 <val1>의 체력을 회복합니다.
Occurance	Occurance	점유 
desc_Occurance	Move to the tile where an enemy was defeated if it is possible.	적을 처치시 해당 타일로 이동이 가능한 경우 이동합니다.
Giganticism	Giganticism	거인의 형상
desc_Giganticism	Increase 'DEF' by <val1> when 'HP' is below <val0>%.	체력이 <val0>% 이하일 때 방어력이 <val1> 증가한다.
Master	Master	숙련가
desc_Master	This unit satisfies the requirements for all class changes.	모든 클래스의 전직 조건을 항상 만족시킨다.
Calling	Calling	부름
desc_Calling	When nearby allies attack, perform <val2> attacks with <val1>% damage within <val0> tiles.	인근 <val0>타일 이내의 아군이 공격 시 <val1>%의 피해량으로 <val2>회 공격
ThePower	ThePower	저력
desc_ThePower	Increase 'DEF', "RES" by <val1>% when 'HP' is below <val0>%.	체력이 <val0>% 미만일 경우 방/저 <val1>% 증가
EvadeStance	EvadeStance	회피자세
desc_EvadeStance	Increase 'Evasion' if a turn is passed without attacking by <val0>.	공격을 하지 않고 턴을 넘길 경우 회피가 <val0> 증가한다.
CrimsonGlare	CrimsonGlare	붉은 눈빛
desc_CrimsonGlare	Unit Bonus Damage' occur only during counterattacks but 'SPD' is reduced by <val0>%.	반격에 한해 특효가 발생하지만 속도가 <val0>% 감소한다.
Aura	Aura	아우라
desc_Aura	Increase 'RYN' by <val0> when defeating an enemy.	적을 처치할 때마다 연이 <val0> 증가한다.
Distortion	Distortion	왜곡
desc_Distortion	Increase the maximum range of all attacks by <val0>.	모든 공격의 최대사정거리가 <val0> 증가한다.
BreathControl	Breath Control	호흡참기 
desc_BreathControl	Ensure all attacks hit during the current turn.	해당 턴의 모든 공격을 반드시 명중시킨다.
Crater	Crater	크레이터 
desc_Crater	After attacking target, 'Stun' all nearby enemies within <val0> tiles.	대상을 공격한뒤 인근 <val0>타일 내에 있는 모든 적에게 기절 <val1>를 부여한다.
Requiem	Requiem	장송곡 
